id,section,category,question,option_a,option_b,option_c,option_d,correct_option
1,Quantitative Aptitude,Percentages,A number is increased by 20% and then decreased by 20%. What is the net percentage change?,0%,4% decrease,4% increase,No change,B
2,Quantitative Aptitude,Percentages,"If 30% of a number is 90, what is 50% of that number?",120,150,180,135,B
3,Quantitative Aptitude,Percentages,"In an election between two candidates, one got 65% of the votes. If the total votes were 8000, by how many votes did the winner win?",2000,2400,2600,2800,B
4,Quantitative Aptitude,Percentages,A salary was first increased by 10% and then reduced by 10%. What is the effective change?,0%,1% decrease,1% increase,2% decrease,B
5,Quantitative Aptitude,Percentages,"If the price of a product rises by 25%, by what percent must a consumer reduce consumption to keep expenditure the same?",20%,25%,15%,16.67%,A
6,Quantitative Aptitude,Percentages,A student scores 60% in the first test and 80% in the second. Both tests have 100 marks each. What is the combined percentage?,60%,70%,72%,68%,B
7,Quantitative Aptitude,Percentages,What is 15% of 20% of 500?,15,10,12,18,A
8,Quantitative Aptitude,Percentages,A shopkeeper marks up goods by 40% over cost and gives a 10% discount on the marked price. What is the profit percent?,26%,30%,20%,24%,A
9,Quantitative Aptitude,Profit & Loss,A product bought for Rs.500 is sold at a loss of 10%. What is the selling price?,Rs.450,Rs.400,Rs.475,Rs.550,A
10,Quantitative Aptitude,Profit & Loss,"A trader sells two items, each at Rs.990. On one he gains 10% and on the other he loses 10%. What is the overall profit/loss?",No profit no loss,Loss of Rs.20,Profit of Rs.20,Loss of Rs.18,B
11,Quantitative Aptitude,Profit & Loss,"By selling 12 items for Rs.1, a person incurs a loss equal to the cost of 3 items. The loss percent is?",20%,25%,30%,15%,A
12,Quantitative Aptitude,Profit & Loss,Cost price of 10 articles is equal to selling price of 8 articles. Profit percent is?,20%,25%,10%,15%,B
13,Quantitative Aptitude,Profit & Loss,"A man sold a watch at a loss of 5%. Had he sold it for Rs.56.25 more, he would have gained 10%. The cost price of the watch is?",Rs.350,Rs.375,Rs.400,Rs.425,B
