id,question,option_a,option_b,option_c,option_d,correct_option
1,"Look at this series: 2, 4, 6, 8, 10, ... What number should come next?",11,12,13,14,B
2,"Look at this series: 58, 52, 46, 40, 34, ... What number should come next?",26,28,30,32,B
3,"Look at this series: 40, 40, 47, 47, 54, ... What number should come next?",40,44,54,61,C
4,"Look at this series: 544, 509, 474, 439, ... What number should come next?",404,414,420,445,A
5,"Look at this series: 201, 202, 204, 207, ... What number should come next?",205,208,210,211,D
6,"Look at this series: 8, 22, 8, 28, 8, ... What number should come next?",9,29,32,34,D
7,"Look at this series: 80, 10, 70, 15, 60, ... What number should come next?",20,25,30,50,A
8,"Look at this series: 36, 34, 30, 28, 24, ... What number should come next?",20,22,23,26,B
9,"Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?",22,24,25,26,C
10,"Look at this series: 3, 4, 7, 8, 11, 12, ... What number should come next?",7,10,14,15,D
11,"Look at this series: 31, 29, 24, 22, 17, ... What number should come next?",15,14,13,12,A
12,"Look at this series: 21, 9, 21, 11, 21, 13, ... What number should come next?",14,15,21,23,C
13,"Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?",12,14,27,53,B
14,"Look at this series: 2, 6, 18, 54, ... What number should come next?",108,148,162,216,C
15,"Look at this series: 1000, 200, 40, ... What number should come next?",8,10,15,20,A
16,"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B
17,"Look at this series: 14, 28, 20, 40, 32, 64, ... What number should come next?",52,56,96,128,B
18,"Look at this series: 1.5, 2.3, 3.1, 3.9, ... What number should come next?",4.2,4.4,4.7,5.1,C
19,"Look at this series: 5.2, 4.8, 4.4, 4, ... What number should come next?",3,3.3,3.5,3.6,D
20,"Look at this series: 2, 1, 1/2, 1/4, ... What number should come next?",1/3,1/8,2/8,1/16,B
21,Look at this series: 84 78 72 66 60 54 48. What two numbers should come next?,44 34,42 36,42 32,40 34,B
22,Look at this series: 3 8 13 18 23 28 33. What two numbers should come next?,39 44,38 44,38 43,37 42,C
23,Look at this series: 20 20 17 17 14 14 11. What two numbers should come next?,8 8,11 11,11 14,8 9,E
24,Look at this series: 18 21 25 18 29 33 18. What two numbers should come next?,43 18,41 44,37 18,37 41,D
25,Look at this series: 9 11 33 13 15 33 17. What two numbers should come next?,19 33,33 35,33 19,15 33,A
26,Look at this series: 2 8 14 20 26 32 38. What two numbers should come next?,2 46,44 50,42 48,40 42,B
27,Look at this series: 28 25 5 21 18 5 14. What two numbers should come next?,11 5,10 7,11 8,5 10,A
28,Look at this series: 9 12 11 14 13 16 15. What two numbers should come next?,14 13,18 21,14 17,12 13,E
29,Look at this series: 75 65 85 55 45 85 35. What two numbers should come next?,25 15,25 85,35 25,85 35,B
30,Look at this series: 1 10 7 20 13 30 19. What two numbers should come next?,26 40,29 36,40 25,25 31,C
31,Look at this series: 10 20 25 35 40 50 55. What two numbers should come next?,70 65,60 70,60 75,60 65,E
32,Look at this series: 40 40 31 31 22 22 13. What two numbers should come next?,13 4,13 5,4 13,9 4,A
33,Look at this series: 17 17 34 20 20 31 23. What two numbers should come next?,26 23,34 20,23 33,27 28,E
34,Look at this series: 2 3 4 5 6 4 8. What two numbers should come next?,9 10,4 8,10 4,9 4,D
35,Look at this series: 61 57 50 61 43 36 61. What two numbers should come next?,29 61,27 20,31 61,22 15,E
36,Look at this series: 9 16 23 30 37 44 51. What two numbers should come next?,59 66,56 62,58 66,58 65,D
37,Look at this series: 8 22 12 16 22 20 24. What two numbers should come next?,28 32,28 22,22 28,32 36,C
38,Look at this series: 6 20 8 14 10 8 12. What two numbers should come next?,14 10,2 18,4 12,2 14,D
39,Look at this series: 11 16 21 26 31 36 41. What two numbers should come next?,47 52,46 52,45 49,46 51,E
40,Look at this series: 8 11 21 15 18 21 22. What two numbers should come next?,25 18,25 21,25 29,24 21,B
41,Look at this series: 44 41 38 35 32 29 26. What two numbers should come next?,24 21,22 19,23 19,29 32,E
