input,target
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: junior developer skilled in nlp, docker, system design.
JD: Backend/Software role requiring nlp, docker, rest api.
Gaps: Missing skills: rest api. Weak skills: nlp.
Target topic: Machine Learning. Target difficulty: medium.",What is your favorite machine learning algorithm and why? (Sample 1)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: senior developer skilled in networking, rest api, algorithms.
JD: Backend/Software role requiring networking, rest api, machine learning.
Gaps: Missing skills: machine learning. Weak skills: rest api.
Target topic: Machine Learning. Target difficulty: medium.",What is the bias-variance tradeoff? (Sample 2)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: mid-level developer skilled in java, system design, node.js.
JD: Backend/Software role requiring java, system design, operating systems.
Gaps: Missing skills: operating systems. Weak skills: system design.
Target topic: Machine Learning. Target difficulty: medium.",What are the key differences between classification and regression? (Sample 3)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: mid-level developer skilled in aws, python, system design.
JD: Backend/Software role requiring aws, python, data structures.
Gaps: Missing skills: data structures. Weak skills: system design.
Target topic: Data Science. Target difficulty: easy.",What is principal component analysis (PCA)? (Sample 4)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: junior developer skilled in system design, rest api, operating systems.
JD: Backend/Software role requiring system design, rest api, sql.
Gaps: Missing skills: sql. Weak skills: system design.
Target topic: Machine Learning. Target difficulty: easy.",How would you optimize a machine learning model? (Sample 5)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: mid-level developer skilled in dbms, deep learning, python.
JD: Backend/Software role requiring dbms, deep learning, sql.
Gaps: Missing skills: sql. Weak skills: python.
Target topic: Machine Learning. Target difficulty: hard.",Can you explain the concept of gradient descent? (Sample 6)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: senior developer skilled in react, rest api, machine learning.
JD: Backend/Software role requiring react, rest api, node.js.
Gaps: Missing skills: node.js. Weak skills: rest api.
Target topic: Machine Learning. Target difficulty: easy.",Describe the process of feature selection. (Sample 7)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: senior developer skilled in machine learning, node.js, nlp.
JD: Backend/Software role requiring machine learning, node.js, kubernetes.
Gaps: Missing skills: kubernetes. Weak skills: nlp.
Target topic: Machine Learning. Target difficulty: easy.",What metrics would you use to evaluate a regression model? (Sample 8)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: senior developer skilled in machine learning, docker, rest api.
JD: Backend/Software role requiring machine learning, docker, data structures.
Gaps: Missing skills: data structures. Weak skills: machine learning.
Target topic: Machine Learning. Target difficulty: medium.",What is the difference between bagging and boosting? (Sample 9)
"Instruction: Given the candidate resume, job description, and skill gaps, generate one interview question focusing mainly on the missing and weak skills. The question should be appropriate for the given topic and difficulty level.
Resume: senior developer skilled in nlp, docker, node.js.
JD: Backend/Software role requiring nlp, docker, system design.
Gaps: Missing skills: system design. Weak skills: docker.
Target topic: Machine Learning. Target difficulty: hard.",What is the bias-variance tradeoff? (Sample 10)
